Quanto custa um hamburguer? | O hamburguer custa $20,00
Quanto custa um Dog? | Um dog custa $15,00
Quanto custa uma coca? | Uma coca custa $8,00
Ola | Olá, boa noite! Bem vindo a Hamburgueria ChatBot, em que posso ajudar?
Olá | Olá, como posso ajudar?
Olá | Bem vindo á Hamburgueria MeuBot, em que posso ajudar?
oLA | Boa noite! Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Ook, quero um hamburguer, um dog e uma coca, quanto deu?  | O valor final fica $43,00
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Opa | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Olá | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Ola | 
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Ola | 
Oi | Bem vindo a Hamburgueria MeuBot, como posso ajudar?
Ola | 
